ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2012,municipal,eleito_num,True,False,12144,438551,0.09025032938076416,0.1284297607347834,-0.038179431354019244,t_welch,-14.413218223035583,9.744194417224055e-47
2014,estadual,eleito_num,True,False,575,17456,0.057391304347826085,0.05877635197066911,-0.0013850476228430275,t_welch,-0.14032970300954442,0.8884455764274573
2014,federal,eleito_num,True,False,250,7071,0.032,0.07523688304341677,-0.043236883043416774,t_welch,-3.731720368707603,0.00022882188045117584
2016,municipal,eleito_num,True,False,13871,449567,0.08204166967053565,0.1261302542223962,-0.04408858455186056,t_welch,-18.507408720294304,1.2256046667590184e-75
2018,estadual,eleito_num,True,False,650,18304,0.03230769230769231,0.05670891608391608,-0.024401223776223772,t_welch,-3.4136747123671483,0.0006763121112918094
2018,federal,eleito_num,True,False,302,8690,0.052980132450331126,0.06340621403912543,-0.010426081588794302,t_welch,-0.791484598679747,0.4292364463928915
2020,municipal,eleito_num,True,False,17350,501346,0.06622478386167147,0.11377970503404834,-0.04755492117237688,t_welch,-24.50652012962432,1.2258431959453819e-130
2022,estadual,eleito_num,True,False,677,16670,0.023633677991137372,0.06256748650269946,-0.038933808511562085,t_welch,-6.344893477192615,3.6730954197842636e-10
2022,federal,eleito_num,True,False,406,10467,0.027093596059113302,0.05053979172637814,-0.023446195667264837,t_welch,-2.808982101878342,0.005179642591500103
2024,municipal,eleito_num,True,False,14264,417768,0.08209478407178912,0.136420214090117,-0.05432543001832789,t_welch,-23.028213138585375,1.9077527045021902e-115
