ANO_ELEICAO_ANALISE,ESFERA,total_candidatos,candidatos_cristaos,eleitos_total,cristaos_eleitos,pct_cristaos,chance_eleicao_cristaos,chance_eleicao_total
2012,municipal,450695,12144,57419,1096,0.026945051531523535,0.09025032938076416,0.1274010139895051
2014,estadual,18031,575,1059,33,0.03188952359824746,0.057391304347826085,0.05873218346181576
2014,federal,7321,250,540,8,0.03414834039065701,0.032,0.07376041524381916
2016,municipal,463438,13871,57842,1138,0.029930648759920422,0.08204166967053565,0.12481065428385242
2018,estadual,18954,650,1059,21,0.03429355281207133,0.03230769230769231,0.05587211142766698
2018,federal,8992,302,567,16,0.03358540925266904,0.052980132450331126,0.06305604982206406
2020,municipal,518696,17350,58192,1149,0.033449265080124004,0.06622478386167147,0.1121890278698891
2022,estadual,17347,677,1059,16,0.03902692108145501,0.023633677991137372,0.061048019830518246
2022,federal,10873,406,540,11,0.037340200496643064,0.027093596059113302,0.04966430607927895
2024,municipal,432032,14264,58163,1171,0.033016072883490115,0.08209478407178912,0.13462660173320495
