ANO_ELEICAO_ANALISE,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2012,populacao_tcu,True,False,1475,1475,50359.258983050844,50077.465762711865,281.79322033897915,t_welch,0.02807315660297927,0.9776060174845246
2012,votos_cristaos,True,False,1475,1475,2227.2562711864407,391.03118644067797,1836.2250847457626,t_welch,5.002177010081542,6.325482724308487e-07
2012,candidatos_cristaos,True,False,1475,1475,4.2589830508474575,2.170169491525424,2.0888135593220336,t_welch,13.724746965310276,4.460413011274018e-41
2012,votos_por_100_mil_hab,True,False,1475,1475,5816.358242827363,677.5657630728772,5138.792479754486,t_welch,23.378003011153083,3.788548312134447e-103
2014,populacao_tcu,True,False,2485,2484,47462.27766599598,24900.76972624799,22561.50793974799,t_welch,3.5708969014924388,0.0003601986748930547
2014,votos_cristaos,True,False,2485,2484,1723.8547283702214,121.14935587761674,1602.7053724926047,t_welch,8.5042667994692,3.0693892250628435e-17
2014,candidatos_cristaos,True,False,2485,2484,10.913480885311872,6.150966183574879,4.762514701736992,t_welch,20.85524126472951,7.455557044592954e-92
2014,votos_por_100_mil_hab,True,False,2485,2484,3527.0242341493113,424.75338428533894,3102.270849863972,t_welch,43.68585346285032,7.8744962829543e-311
2016,populacao_tcu,True,False,1752,1752,44173.60673515982,58776.19520547945,-14602.588470319635,t_welch,-1.6198515043213546,0.10540538918839505
2016,votos_cristaos,True,False,1752,1752,1954.9703196347032,452.0667808219178,1502.9035388127854,t_welch,6.8477362752281445,9.566527608103738e-12
2016,candidatos_cristaos,True,False,1752,1752,4.835045662100456,2.3801369863013697,2.4549086757990866,t_welch,16.30947850345064,5.609117456622042e-57
2016,votos_por_100_mil_hab,True,False,1752,1752,5621.902235326873,623.3970110931309,4998.505224233742,t_welch,26.236100856061867,2.5011724457448867e-128
2018,populacao_tcu,True,False,2778,2778,52400.62958963283,22635.630669546437,29764.998920086393,t_welch,5.047974353507797,4.733608919816995e-07
2018,votos_cristaos,True,False,2778,2778,1908.4636429085674,155.52483801295895,1752.9388048956084,t_welch,9.57143541678334,2.234941981121366e-21
2018,candidatos_cristaos,True,False,2778,2778,13.932685385169187,7.940964722822174,5.991720662347013,t_welch,20.61190897404663,5.1520971928595855e-90
2018,votos_por_100_mil_hab,True,False,2778,2778,4235.818531287815,603.1362323871423,3632.682298900673,t_welch,40.68734009483892,7.755419187597105e-285
2020,populacao_tcu,True,False,1884,1883,46812.10456475584,55033.644715878916,-8221.540151123074,t_welch,-0.9507107684311076,0.34181890932426645
2020,votos_cristaos,True,False,1884,1883,1708.4851380042462,383.80669144981414,1324.678446554432,t_welch,7.9399171479831665,3.2037157721457714e-15
2020,candidatos_cristaos,True,False,1884,1883,5.767515923566879,2.903345724907063,2.8641701986598163,t_welch,14.565365199518604,2.231431735635115e-46
2020,votos_por_100_mil_hab,True,False,1884,1883,5435.931159734505,560.2467034824344,4875.684456252071,t_welch,27.22233279708108,5.716917806014775e-138
2022,populacao_tcu,True,False,2778,2777,49264.82145428366,23825.697515304284,25439.123938979374,t_welch,4.5934591070215545,4.538872783284413e-06
2022,votos_cristaos,True,False,2778,2777,1526.3020158387328,137.30032409074542,1389.0016917479875,t_welch,10.029981834773535,2.7709117483422223e-23
2022,candidatos_cristaos,True,False,2778,2777,15.41036717062635,8.594166366582643,6.8162008040437065,t_welch,21.97645606755617,1.1978579270142248e-101
2022,votos_por_100_mil_hab,True,False,2778,2777,3776.515968511549,502.61563665229846,3273.9003318592504,t_welch,40.688191621387666,7.71156349490132e-285
2024,populacao_tcu,True,False,1825,1824,40263.65095890411,63368.35471491228,-23104.703756008174,t_welch,-2.661459903517222,0.007835286556779127
2024,votos_cristaos,True,False,1825,1824,1680.402191780822,497.4923245614035,1182.9098672194186,t_welch,8.480956653688905,3.22245760356705e-17
2024,candidatos_cristaos,True,False,1825,1824,4.886575342465753,2.6282894736842106,2.2582858687815426,t_welch,15.438004534471835,1.2755921528928369e-51
2024,votos_por_100_mil_hab,True,False,1825,1824,6237.154791829433,658.0385530714909,5579.116238757942,t_welch,24.399986084845796,4.373178605349632e-114
