ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2016,municipal,doadores_distintos,True,False,13871,449567,0.0,0.0,0.0,t_welch,,
2016,municipal,pct_receita_publica,True,False,0,0,,,,t_welch,,
2016,municipal,pct_receita_pessoa_fisica,True,False,0,0,,,,t_welch,,
2016,municipal,pct_receita_recursos_proprios,True,False,0,0,,,,t_welch,,
2016,municipal,log_receita_total,True,False,13871,449567,0.0,0.0,0.0,t_welch,,
2016,municipal,log_despesa_contratada,True,False,13871,449567,0.0,0.0,0.0,t_welch,,
2018,estadual,receita_total,True,False,650,18304,33987.546938461535,54179.335574737765,-20191.78863627623,t_welch,-5.0521005748808525,5.516858931072995e-07
2018,estadual,receita_publica,True,False,650,18304,22849.83136923077,29737.887975305945,-6888.0566060751735,t_welch,-2.0734155788166864,0.03849451886517643
2018,estadual,receita_pessoa_fisica,True,False,650,18304,0.0,0.0,0.0,t_welch,,
2018,estadual,receita_recursos_proprios,True,False,650,18304,4770.3982000000005,9978.075018028845,-5207.6768180288445,t_welch,-4.522401651318039,7.054527693637469e-06
2018,estadual,receita_partido_ou_candidato,True,False,650,18304,24095.564246153845,32147.987742023608,-8052.423495869763,t_welch,-2.4073190638528086,0.01632393174606169
2018,estadual,receita_estimavel,True,False,650,18304,4905.094723076923,7569.651022180944,-2664.5562991040206,t_welch,-5.389563495656365,9.084982402811543e-08
2018,estadual,despesa_contratada,True,False,650,18304,29325.43635384615,46735.45192253059,-17410.01556868444,t_welch,-4.609354750435736,4.76449424161237e-06
2018,estadual,despesa_paga,True,False,650,18304,0.0,0.0,0.0,t_welch,,
2018,estadual,doadores_distintos,True,False,650,18304,3.9461538461538463,5.874016608391608,-1.927862762237762,t_welch,-5.8823084952267966,5.92724705010002e-09
2018,estadual,pct_receita_publica,True,False,524,15134,0.5739350785344188,0.5543251125134571,0.019609966020961767,t_welch,1.0443450843832063,0.2967782024156067
2018,estadual,pct_receita_pessoa_fisica,True,False,524,15134,0.0,0.0,0.0,t_welch,,
2018,estadual,pct_receita_recursos_proprios,True,False,524,15134,0.10983042354891588,0.13919833164926929,-0.029367908100353404,t_welch,-2.6417876482676355,0.008475549793060005
2018,estadual,log_receita_total,True,False,650,18304,7.1811696939530405,7.733982148125619,-0.5528124541725781,t_welch,-3.531512714069748,0.00044039537078696423
2018,estadual,log_despesa_contratada,True,False,650,18304,5.265206912266606,6.057060062481461,-0.7918531502148545,t_welch,-4.154595213280284,3.663005281085761e-05
2018,federal,receita_total,True,False,302,8690,102787.98923841059,180178.02369044878,-77390.03445203819,t_welch,-4.047765820637102,6.377973964617019e-05
2018,federal,receita_publica,True,False,302,8690,88982.3173178808,137082.07336248562,-48099.756044604816,t_welch,-2.622130953565593,0.00913681283161663
