ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo,n_grupos_validos,teste,estatistica,p_valor
2018,estadual,receita_partido_ou_candidato,grupo_religiao_resultado,3,anova_um_fator,27.710573850247727,9.616424789412254e-13
2018,estadual,receita_estimavel,grupo_religiao_resultado,3,anova_um_fator,12.964946128718758,2.3618047571712266e-06
2018,estadual,despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,47.20941096009728,3.532803036440731e-21
2018,estadual,despesa_paga,grupo_religiao_resultado,3,anova_um_fator,,
2018,estadual,doadores_distintos,grupo_religiao_resultado,3,anova_um_fator,19.440348010952277,3.679706241703776e-09
2018,estadual,pct_receita_publica,grupo_religiao_resultado,3,anova_um_fator,1.0880123768188872,0.3369109025639798
2018,estadual,pct_receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2018,estadual,pct_receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,6.317537133512714,0.001808985518761925
2018,estadual,log_receita_total,grupo_religiao_resultado,3,anova_um_fator,23.4827698778377,6.5189699800595e-11
2018,estadual,log_despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,29.20210828688124,2.173641781606089e-13
2018,federal,receita_total,grupo_religiao_resultado,3,anova_um_fator,24.677737659752328,2.0507382128366404e-11
2018,federal,receita_publica,grupo_religiao_resultado,3,anova_um_fator,28.154058899202035,6.471195691696682e-13
2018,federal,receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2018,federal,receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,1.8165196362061826,0.16265032169203816
2018,federal,receita_partido_ou_candidato,grupo_religiao_resultado,3,anova_um_fator,27.779878655465176,9.386074996047128e-13
2018,federal,receita_estimavel,grupo_religiao_resultado,3,anova_um_fator,4.391880226034378,0.012404005663790515
2018,federal,despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,23.512070820796104,6.538128019206649e-11
2018,federal,despesa_paga,grupo_religiao_resultado,3,anova_um_fator,,
2018,federal,doadores_distintos,grupo_religiao_resultado,3,anova_um_fator,6.198364097521246,0.002041452036601165
2018,federal,pct_receita_publica,grupo_religiao_resultado,3,anova_um_fator,2.337600990777262,0.09662803812215773
2018,federal,pct_receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2018,federal,pct_receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,1.027638871869339,0.3579003348752899
2018,federal,log_receita_total,grupo_religiao_resultado,3,anova_um_fator,24.44524476352265,2.5842339231899714e-11
2018,federal,log_despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,24.015620340447253,3.96200334101313e-11
2020,municipal,receita_total,grupo_religiao_resultado,3,anova_um_fator,0.2646056892358377,0.7675086307937279
2020,municipal,receita_publica,grupo_religiao_resultado,3,anova_um_fator,3.468904722999374,0.031151853785877454
2020,municipal,receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2020,municipal,receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,116.41729656434293,2.83109757618819e-51
2020,municipal,receita_partido_ou_candidato,grupo_religiao_resultado,3,anova_um_fator,0.2178565657496891,0.8042408626582865
2020,municipal,receita_estimavel,grupo_religiao_resultado,3,anova_um_fator,0.21512797549753115,0.8064383011935075
2020,municipal,despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,59.01280629073023,2.3658068376664613e-26
2020,municipal,despesa_paga,grupo_religiao_resultado,3,anova_um_fator,,
2020,municipal,doadores_distintos,grupo_religiao_resultado,3,anova_um_fator,332.9865971264859,3.009658946103188e-145
2020,municipal,pct_receita_publica,grupo_religiao_resultado,3,anova_um_fator,84.86336690366869,1.418209843692107e-37
2020,municipal,pct_receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2020,municipal,pct_receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,58.945196730112,2.5352012606689272e-26
2020,municipal,log_receita_total,grupo_religiao_resultado,3,anova_um_fator,408.00395648807563,8.817953464697401e-178
2020,municipal,log_despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,448.3752517412115,2.7620841617909226e-195
2022,estadual,receita_total,grupo_religiao_resultado,3,anova_um_fator,49.5462214636282,3.496111582549581e-22
2022,estadual,receita_publica,grupo_religiao_resultado,3,anova_um_fator,34.68061129879121,9.299050570467784e-16
2022,estadual,receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2022,estadual,receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,24.065125726999987,3.656986560943763e-11
2022,estadual,receita_partido_ou_candidato,grupo_religiao_resultado,3,anova_um_fator,37.998222144226055,3.416889789910637e-17
2022,estadual,receita_estimavel,grupo_religiao_resultado,3,anova_um_fator,5.94377921381334,0.002627445456266734
2022,estadual,despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,49.98363586785074,2.263093728139978e-22
2022,estadual,despesa_paga,grupo_religiao_resultado,3,anova_um_fator,,
2022,estadual,doadores_distintos,grupo_religiao_resultado,3,anova_um_fator,8.832333561268845,0.0001465947182917844
2022,estadual,pct_receita_publica,grupo_religiao_resultado,3,anova_um_fator,4.763603601063311,0.008548123271631448
2022,estadual,pct_receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2022,estadual,pct_receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,5.742611963168588,0.0032136595611151806
2022,estadual,log_receita_total,grupo_religiao_resultado,3,anova_um_fator,21.989484084354377,2.898516455277224e-10
2022,estadual,log_despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,24.92069502173144,1.5581197483814676e-11
2022,federal,receita_total,grupo_religiao_resultado,3,anova_um_fator,28.86055536726365,3.156321602622244e-13
2022,federal,receita_publica,grupo_religiao_resultado,3,anova_um_fator,23.28218920157898,8.13334615359161e-11
2022,federal,receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2022,federal,receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,6.155462809046619,0.0021292622438777776
