comparacao,ANO_ELEICAO_ANALISE,ESFERA,tipo_despesa,variavel,teste,n_grupos_validos,estatistica,p_valor
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Comicios,valor_despesa,anova_um_fator,3,1.4199982001282734,0.24175459331194113
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Comicios,pct_despesa_tipo,anova_um_fator,3,1.4047610465199671,0.24546558245069452
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Energia eletrica,valor_despesa,anova_um_fator,3,0.7438608331263231,0.4752970691899312
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Energia eletrica,pct_despesa_tipo,anova_um_fator,3,0.07775714161315361,0.9251895499284829
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Locacao/cessao de bens imoveis,valor_despesa,anova_um_fator,3,0.3637374724419401,0.6950812209919353
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Locacao/cessao de bens imoveis,pct_despesa_tipo,anova_um_fator,3,2.9688572425003024,0.0513992601843674
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Locacao/cessao de bens moveis,valor_despesa,anova_um_fator,3,1.7056955021254334,0.18168953268035373
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Locacao/cessao de bens moveis,pct_despesa_tipo,anova_um_fator,3,0.8285841896007671,0.4366917778679384
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Publicidade por carros de som,valor_despesa,anova_um_fator,3,0.5438279248448845,0.5805359404797659
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Publicidade por carros de som,pct_despesa_tipo,anova_um_fator,3,0.1972458509882649,0.820991398411266
cristaos_direita_centro_esquerda,2012,municipal,Despesas com pessoal,valor_despesa,anova_um_fator,3,3.9669840542455903,0.018954982840789798
cristaos_direita_centro_esquerda,2012,municipal,Despesas com pessoal,pct_despesa_tipo,anova_um_fator,3,4.795871178338646,0.00827945828854698
