ANO_ELEICAO_ANALISE,ESFERA,tipo_despesa,ELEITO,candidatos,candidatos_com_gasto,gasto_total,gasto_medio,gasto_mediano,pct_medio,pct_mediano
2012,municipal,Baixa de Estimaveis - Locacao/cessao de bens moveis,True,1096,41,81409.49,74.27873175182482,0.0,0.00537147355349639,0.0
2012,municipal,Baixa de Estimaveis - Materiais de expediente,False,11048,69,21610.49,1.9560544895003622,0.0,0.000815597068076024,0.0
2012,municipal,Baixa de Estimaveis - Materiais de expediente,True,1096,16,2498.59,2.2797354014598543,0.0,0.0005641518728621886,0.0
2012,municipal,Baixa de Estimaveis - Pesquisas ou testes eleitorais,False,11048,5,722.37,0.0653846850108617,0.0,0.00014506921773996893,0.0
2012,municipal,Baixa de Estimaveis - Pesquisas ou testes eleitorais,True,1096,0,0.0,0.0,0.0,0.0,0.0
2012,municipal,Baixa de Estimaveis - Pre-instalacao fisica de comite de campanha de candidato,False,11048,13,5531.6900000000005,0.5006960535843592,0.0,0.00027398471183623174,0.0
2012,municipal,Baixa de Estimaveis - Pre-instalacao fisica de comite de campanha de candidato,True,1096,0,0.0,0.0,0.0,0.0,0.0
2012,municipal,"Baixa de Estimaveis - Producao de jingles, vinhetas e slogans",False,11048,198,36431.37,3.29755340333092,0.0,0.0029873100335482015,0.0
2012,municipal,"Baixa de Estimaveis - Producao de jingles, vinhetas e slogans",True,1096,27,6903.87,6.299151459854015,0.0,0.0017941665221484053,0.0
2012,municipal,"Baixa de Estimaveis - Producao de programas de radio, televisao ou video",False,11048,1309,821638.15,74.36985427226648,0.0,0.02803629479289091,0.0
2012,municipal,"Baixa de Estimaveis - Producao de programas de radio, televisao ou video",True,1096,137,85578.85,78.08289233576643,0.0,0.006642923618926958,0.0
2012,municipal,Baixa de Estimaveis - Publicidade por carros de som,False,11048,210,169161.21,15.31147809558291,0.0,0.0050775395207561,0.0
2012,municipal,Baixa de Estimaveis - Publicidade por carros de som,True,1096,29,51532.91,47.019078467153285,0.0,0.0038232483361689967,0.0
2012,municipal,Baixa de Estimaveis - Publicidade por jornais e revistas,False,11048,199,93668.39,8.478311911658219,0.0,0.002940652877459683,0.0
2012,municipal,Baixa de Estimaveis - Publicidade por jornais e revistas,True,1096,25,26656.59,24.321706204379563,0.0,0.004106269406576554,0.0
2012,municipal,Baixa de Estimaveis - Publicidade por materiais impressos,False,11048,5981,19193009.48,1737.2383671252717,42.6,0.25597241388362585,0.03856782036238922
2012,municipal,Baixa de Estimaveis - Publicidade por materiais impressos,True,1096,698,657767.72,600.1530291970803,95.1,0.15655275071500668,0.034256573974121976
2012,municipal,"Baixa de Estimaveis - Publicidade por placas, estandartes e faixas",False,11048,1680,790940.1,71.5912472845764,0.0,0.03730345331212914,0.0
2012,municipal,"Baixa de Estimaveis - Publicidade por placas, estandartes e faixas",True,1096,190,330643.06,301.6816240875912,0.0,0.026437621147594594,0.0
2012,municipal,Baixa de Estimaveis - Publicidade por telemarketing,False,11048,6,2247.5,0.2034304851556843,0.0,6.715051512939577e-05,0.0
2012,municipal,Baixa de Estimaveis - Publicidade por telemarketing,True,1096,0,0.0,0.0,0.0,0.0,0.0
2012,municipal,Baixa de Estimaveis - Servicos prestados por terceiros,False,11048,664,274156.72,24.81505430847212,0.0,0.01519609356238644,0.0
2012,municipal,Baixa de Estimaveis - Servicos prestados por terceiros,True,1096,88,59808.57,54.56986313868613,0.0,0.00989343239231101,0.0
2012,municipal,Baixa de Estimaveis - Telefone,False,11048,49,8547.7,0.7736875452570602,0.0,0.00038133041482310906,0.0
2012,municipal,Baixa de Estimaveis - Telefone,True,1096,6,5916.719999999999,5.398467153284671,0.0,6.941756758129205e-05,0.0
2012,municipal,Bens permanentes,False,11048,16,21378.2,1.9350289645184648,0.0,0.00025110046760567643,0.0
2012,municipal,Bens permanentes,True,1096,4,6015.99,5.489041970802919,0.0,0.0001682626087864665,0.0
2012,municipal,Cessao ou locacao de veiculos,False,11048,44,43080.36,3.8993808834178134,0.0,0.0007581662474413003,0.0
2012,municipal,Cessao ou locacao de veiculos,True,1096,24,55193.57,50.35909671532847,0.0,0.004083056407429439,0.0
2012,municipal,Combustiveis e lubrificantes,False,11048,1954,1537301.67,139.1475081462708,0.0,0.0518338220651702,0.0
2012,municipal,Combustiveis e lubrificantes,True,1096,585,933669.41,851.888147810219,151.235,0.14796671659962587,0.03376921187222487
2012,municipal,Comicios,False,11048,4,1239.0,0.11214699493120926,0.0,0.00021046240004187505,0.0
2012,municipal,Comicios,True,1096,2,6210.0,5.666058394160584,0.0,2.6131193227323957e-05,0.0
2012,municipal,Correspondencias e despesas postais,False,11048,55,105846.66,9.580617306299784,0.0,0.0007624655475530496,0.0
2012,municipal,Correspondencias e despesas postais,True,1096,23,117223.94,106.9561496350365,0.0,0.0028829748653864343,0.0
2012,municipal,Criacao e inclusao de paginas na internet,False,11048,17,6691.29,0.60565622737147,0.0,8.364524083366978e-05,0.0
2012,municipal,Criacao e inclusao de paginas na internet,True,1096,10,1845.5,1.6838503649635037,0.0,5.621590982404284e-05,0.0
2012,municipal,Despesas com pessoal,False,11048,22,49082.72,4.442679217958002,0.0,0.0006507139275591271,0.0
2012,municipal,Despesas com pessoal,True,1096,3,3962.95,3.615830291970803,0.0,0.00010019107662793597,0.0
2012,municipal,Despesas com transporte ou deslocamento,False,11048,24,8706.34,0.7880467052860246,0.0,0.0002501181563320777,0.0
2012,municipal,Despesas com transporte ou deslocamento,True,1096,9,16261.5,14.83713503649635,0.0,0.0012108025247236625,0.0
2012,municipal,Diversas a especificar,False,11048,428,210280.36000000002,19.033341781317887,0.0,0.006234064277633066,0.0
2012,municipal,Diversas a especificar,True,1096,121,89944.52,82.06616788321168,0.0,0.010132777558518836,0.0
2012,municipal,Doacoes financeiras a outros candidatos/comites financeiros/partido,False,11048,101,27860.170000000002,2.521738776249095,0.0,0.0009205779428010938,0.0
2012,municipal,Doacoes financeiras a outros candidatos/comites financeiros/partido,True,1096,28,139913.84,127.65861313868612,0.0,0.0011794161332350911,0.0
2012,municipal,"Encargos financeiros, taxas bancarias e/ou op. cartao de credito",False,11048,2,53.5,0.0048425054308472125,0.0,4.029926891079803e-06,0.0
2012,municipal,"Encargos financeiros, taxas bancarias e/ou op. cartao de credito",True,1096,1,6.0,0.005474452554744526,0.0,1.9124725082076945e-05,0.0
2012,municipal,Energia eletrica,False,11048,13,4071.9399999999996,0.3685680666183924,0.0,2.3123504189043182e-05,0.0
2012,municipal,Energia eletrica,True,1096,12,6781.5,6.1875,0.0,0.00011216650158109226,0.0
2012,municipal,Eventos de promocao da candidatura,False,11048,20,25686.0,2.3249456915278786,0.0,0.0004549370923464414,0.0
2012,municipal,Eventos de promocao da candidatura,True,1096,7,10206.0,9.312043795620438,0.0,0.0003448240275001029,0.0
2012,municipal,Locacao/cessao de bens imoveis,False,11048,10,20074.92,1.8170637219406225,0.0,9.067374571204751e-05,0.0
2012,municipal,Locacao/cessao de bens imoveis,True,1096,10,35408.93,32.30741788321168,0.0,0.0007559885234215201,0.0
2012,municipal,Locacao/cessao de bens moveis,False,11048,10,12981.0,1.1749637943519189,0.0,0.0001420235510949608,0.0
2012,municipal,Locacao/cessao de bens moveis,True,1096,5,24740.0,22.572992700729927,0.0,0.0008980447117346295,0.0
2012,municipal,Materiais de expediente,False,11048,203,38098.51,3.4484531136857353,0.0,0.0013720448469069966,0.0
2012,municipal,Materiais de expediente,True,1096,48,26769.940000000002,24.42512773722628,0.0,0.0015226224438532599,0.0
2012,municipal,Pesquisas ou testes eleitorais,False,11048,1,200.0,0.018102824040550327,0.0,4.259488009541253e-06,0.0
2012,municipal,Pesquisas ou testes eleitorais,True,1096,0,0.0,0.0,0.0,0.0,0.0
2012,municipal,Pre-instalacao fisica de comite de campanha de candidato,False,11048,5,14761.9,1.3361603910209991,0.0,1.3611995596814565e-05,0.0
2012,municipal,Pre-instalacao fisica de comite de campanha de candidato,True,1096,0,0.0,0.0,0.0,0.0,0.0
2012,municipal,"Producao de jingles, vinhetas e slogans",False,11048,206,63932.9,5.7868301955104995,0.0,0.003096009722300869,0.0
2012,municipal,"Producao de jingles, vinhetas e slogans",True,1096,72,49824.0,45.45985401459854,0.0,0.007279181195433622,0.0
2012,municipal,"Producao de programas de radio, televisao ou video",False,11048,35,62156.42,5.626033671252715,0.0,0.00044646532327177014,0.0
2012,municipal,"Producao de programas de radio, televisao ou video",True,1096,9,68007.17,62.050337591240876,0.0,0.0008208305385281465,0.0
2012,municipal,Publicidade por carros de som,False,11048,115,89335.51,8.08612509051412,0.0,0.0021113728887154222,0.0
2012,municipal,Publicidade por carros de som,True,1096,34,85396.36,77.91638686131387,0.0,0.004915933380614045,0.0
2012,municipal,Publicidade por jornais e revistas,False,11048,326,208508.99,18.873007784214337,0.0,0.00465422455440335,0.0
2012,municipal,Publicidade por jornais e revistas,True,1096,97,200196.98,182.6614781021898,0.0,0.009797503726295839,0.0
2012,municipal,Publicidade por materiais impressos,False,11048,3796,4402884.74,398.5232385952209,0.0,0.17348654640366268,0.0
2012,municipal,Publicidade por materiais impressos,True,1096,816,2532061.48,2310.2750729927006,604.75,0.3363555475333504,0.25530893332515114
2012,municipal,"Publicidade por placas, estandartes e faixas",False,11048,939,1017796.28,92.12493482983345,0.0,0.020698130023590774,0.0
2012,municipal,"Publicidade por placas, estandartes e faixas",True,1096,275,768267.05,700.9735857664234,0.0,0.04734096677470392,0.0
2012,municipal,Publicidade por telemarketing,False,11048,11,25592.0,2.3164373642288196,0.0,0.0001535688864469912,0.0
2012,municipal,Publicidade por telemarketing,True,1096,5,11760.0,10.72992700729927,0.0,0.00033022178364870605,0.0
2012,municipal,Reembolsos de gastos realizados por eleitores,False,11048,1,136.78,0.012380521361332369,0.0,1.3806713439491524e-06,0.0
2012,municipal,Reembolsos de gastos realizados por eleitores,True,1096,0,0.0,0.0,0.0,0.0,0.0
2012,municipal,Servicos prestados por terceiros,False,11048,238,135956.74,12.30600470673425,0.0,0.005251045491676972,0.0
2012,municipal,Servicos prestados por terceiros,True,1096,53,83618.73999999999,76.2944708029197,0.0,0.003426720573536008,0.0
2012,municipal,Telefone,False,11048,24,25280.12,2.2882078204199856,0.0,0.0001507442600274184,0.0
2012,municipal,Telefone,True,1096,14,38452.799999999996,35.08467153284671,0.0,0.0005756666601359862,0.0
2014,estadual,Agua,False,542,6,5441.18,10.039077490774908,0.0,8.854361123617442e-05,0.0
2014,estadual,Agua,True,33,6,2028.75,61.47727272727273,0.0,0.00027040551390896067,0.0
2014,estadual,Alimentacao,False,542,27,67152.97,123.89846863468635,0.0,0.0022944919692196785,0.0
2014,estadual,Alimentacao,True,33,12,40519.25,1227.8560606060605,0.0,0.004458772093387344,0.0
2014,estadual,Aquisicao/Doacao de bens moveis ou imoveis,False,542,3,17674.0,32.608856088560884,0.0,0.0004592759787301658,0.0
2014,estadual,Aquisicao/Doacao de bens moveis ou imoveis,True,33,1,24606.0,745.6363636363636,0.0,0.0008196873175506774,0.0
2014,estadual,Atividades de militancia e mobilizacao de rua,False,542,22,344785.65,636.1358856088561,0.0,0.011936627867654186,0.0
2014,estadual,Atividades de militancia e mobilizacao de rua,True,33,5,214174.76,6490.144242424242,0.0,0.027117073690027617,0.0
2014,estadual,Baixa de Estimaveis - Alimentacao,False,542,1,210.62,0.38859778597785977,0.0,1.2796165276879502e-05,0.0
2014,estadual,Baixa de Estimaveis - Alimentacao,True,33,0,0.0,0.0,0.0,0.0,0.0
2014,estadual,Baixa de Estimaveis - Atividades de militancia e mobilizacao de rua,False,542,8,70112.23,129.35835793357933,0.0,0.00510808477851133,0.0
2014,estadual,Baixa de Estimaveis - Atividades de militancia e mobilizacao de rua,True,33,4,143664.75,4353.477272727273,0.0,0.017736034518892344,0.0
2014,estadual,Baixa de Estimaveis - Cessao ou locacao de veiculos,False,542,98,1199212.39,2212.5689852398523,0.0,0.037339896517971295,0.0
2014,estadual,Baixa de Estimaveis - Cessao ou locacao de veiculos,True,33,20,542411.4,16436.70909090909,5000.0,0.0846281079041826,0.03793241770799056
2014,estadual,Baixa de Estimaveis - Combustiveis e lubrificantes,False,542,44,83053.54000000001,153.23531365313656,0.0,0.014300560749991165,0.0
2014,estadual,Baixa de Estimaveis - Combustiveis e lubrificantes,True,33,7,32018.4,970.2545454545455,0.0,0.007969486396282198,0.0
