ANO_ELEICAO_ANALISE,SG_UF,SG_UE,NM_UE,codigo_ibge_municipio,total_candidatos,candidatos_cristaos,eleitos_total,cristaos_eleitos,pct_cristaos,chance_eleicao_cristaos
2012,CE,13250,ARARIPE,2301307,37,1,11,0,0.02702702702702703,0.0
2012,CE,13269,POTIRETAMA,2311231,36,0,9,0,0.0,
2012,CE,13277,ARATUBA,2301406,64,0,9,0,0.0,
2012,CE,13285,PINDORETAMA,2310852,99,0,11,0,0.0,
2012,CE,13293,ARNEIROZ,2301505,34,2,9,1,0.058823529411764705,0.5
2012,CE,13307,OCARA,2309458,66,1,11,0,0.015151515151515152,0.0
2012,CE,13315,ASSARÉ,2301604,59,0,11,0,0.0,
2012,CE,13323,TEJUÇUOCA,2313351,50,0,11,0,0.0,
2012,CE,13331,AURORA,2301703,40,1,11,0,0.025,0.0
2012,CE,13340,IPAPORANGA,2305654,31,0,9,0,0.0,
2012,CE,13358,BAIXIO,2301802,33,0,9,0,0.0,
2012,CE,13366,TARRAFAS,2313252,27,0,9,0,0.0,
2012,CE,13374,BARBALHA,2301901,153,0,15,0,0.0,
2012,CE,13382,BANABUIÚ,2301851,69,1,11,0,0.014492753623188406,0.0
2012,CE,13390,BARRO,2302008,36,0,11,0,0.0,
2012,CE,13404,BARROQUINHA,2302057,28,0,9,0,0.0,
2012,CE,13412,BATURITÉ,2302107,111,2,13,0,0.018018018018018018,0.0
2012,CE,13420,ARARENDÁ,2301257,31,0,9,0,0.0,
2012,CE,13439,BEBERIBE,2302206,130,0,13,0,0.0,
2012,CE,13447,CATUNDA,2303659,32,0,9,0,0.0,
2012,CE,13455,BELA CRUZ,2302305,62,0,13,0,0.0,
2012,CE,13463,CHORÓ,2303931,66,1,9,0,0.015151515151515152,0.0
2012,CE,13471,BOA VIAGEM,2302404,75,0,15,0,0.0,
2012,CE,13480,ITAITINGA,2306256,117,3,13,1,0.02564102564102564,0.3333333333333333
2012,CE,13498,BREJO SANTO,2302503,38,0,13,0,0.0,
2012,CE,13501,FORTIM,2304459,34,0,9,0,0.0,
2012,CE,13510,CAMOCIM,2302602,145,2,15,0,0.013793103448275862,0.0
2012,CE,13536,CAMPOS SALES,2302701,46,1,11,0,0.021739130434782608,0.0
2012,CE,13552,CANINDÉ,2302800,181,2,15,0,0.011049723756906077,0.0
2012,CE,13579,CAPISTRANO,2302909,81,3,11,0,0.037037037037037035,0.0
2012,CE,13595,CARIDADE,2303006,59,0,11,0,0.0,
2012,CE,13617,CARIRÉ,2303105,32,0,11,0,0.0,
2012,CE,13633,CARIRIAÇU,2303204,78,0,11,0,0.0,
2012,CE,13650,CARIÚS,2303303,45,0,11,0,0.0,
2012,CE,13676,CARNAUBAL,2303402,24,0,11,0,0.0,
2012,CE,13692,CASCAVEL,2303501,104,0,10,0,0.0,
2012,CE,13714,CATARINA,2303600,35,0,11,0,0.0,
2012,CE,13730,CAUCAIA,2303709,359,8,17,2,0.022284122562674095,0.25
2012,CE,13757,CEDRO,2303808,44,1,11,1,0.022727272727272728,1.0
2012,CE,13773,CHAVAL,2303907,29,0,9,0,0.0,
2012,CE,13811,COREAÚ,2304004,29,0,9,0,0.0,
2012,CE,13838,CRATEÚS,2304103,94,3,15,1,0.031914893617021274,0.3333333333333333
2012,CE,13854,CRATO,2304202,211,3,19,0,0.014218009478672985,0.0
2012,CE,13870,FARIAS BRITO,2304301,28,0,11,0,0.0,
2012,CE,13897,FORTALEZA,2304400,1178,21,43,0,0.017826825127334467,0.0
2012,CE,13919,FRECHEIRINHA,2304509,28,1,9,1,0.03571428571428571,1.0
2012,CE,13935,GENERAL SAMPAIO,2304608,52,1,9,0,0.019230769230769232,0.0
2012,CE,13951,GRANJA,2304707,61,0,13,0,0.0,
2012,CE,13978,GRANJEIRO,2304806,39,0,9,0,0.0,
2012,CE,13994,GROAÍRAS,2304905,41,2,9,0,0.04878048780487805,0.0
2012,CE,14010,GUARACIABA DO NORTE,2305001,54,1,13,1,0.018518518518518517,1.0
2012,CE,14036,GUARAMIRANGA,2305100,54,0,9,0,0.0,
2012,CE,14052,HIDROLÂNDIA,2305209,45,1,11,0,0.022222222222222223,0.0
2012,CE,14060,IBARETAMA,2305266,53,0,9,0,0.0,
2012,CE,14079,IBIAPINA,2305308,57,2,11,1,0.03508771929824561,0.5
2012,CE,14095,ICÓ,2305407,74,1,15,0,0.013513513513513514,0.0
2012,CE,14117,IGUATU,2305506,135,1,17,0,0.007407407407407408,0.0
2012,CE,14133,INDEPENDÊNCIA,2305605,36,0,11,0,0.0,
2012,CE,14150,IPAUMIRIM,2305704,30,0,9,0,0.0,
2012,CE,14176,IPU,2305803,74,1,13,0,0.013513513513513514,0.0
2012,CE,14192,IPUEIRAS,2305902,58,2,13,1,0.034482758620689655,0.5
