ANO_ELEICAO_ANALISE,ESFERA,SG_UF,total_candidatos,candidatos_cristaos,eleitos_total,cristaos_eleitos,pct_cristaos,chance_eleicao_cristaos
2024,municipal,PR,31719,749,3905,58,0.023613606986348876,0.0774365821094793
2024,municipal,RJ,16813,487,1208,19,0.028965681318027715,0.039014373716632446
2024,municipal,RN,6901,77,1655,6,0.011157803216925083,0.07792207792207792
2024,municipal,RO,4532,152,531,15,0.03353927625772286,0.09868421052631579
2024,municipal,RR,1258,38,161,7,0.030206677265500796,0.18421052631578946
2024,municipal,RS,26578,326,4903,27,0.01226578373090526,0.08282208588957055
2024,municipal,SC,17934,243,2912,20,0.013549682167949146,0.0823045267489712
2024,municipal,SE,5148,424,801,49,0.08236208236208237,0.11556603773584906
2024,municipal,SP,74044,2203,7047,158,0.029752579547296203,0.07172038129822969
2024,municipal,TO,6527,201,1317,26,0.030795158572085184,0.12935323383084577
