ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2018,estadual,receita_publica,direita,esquerda,283,131,37292.92639575972,18989.865496183207,18303.060899576514,t_welch,1.895324072554622,0.05895389743911493
2018,estadual,receita_pessoa_fisica,direita,esquerda,283,131,0.0,0.0,0.0,t_welch,,
2018,estadual,receita_recursos_proprios,direita,esquerda,283,131,4719.820565371026,7035.215038167939,-2315.3944727969138,t_welch,-0.6728690838417973,0.5016770038592099
2018,estadual,receita_partido_ou_candidato,direita,esquerda,283,131,38718.505936395755,20876.550839694657,17841.9550967011,t_welch,1.8343319457647012,0.0675412385479398
2018,estadual,receita_estimavel,direita,esquerda,283,131,5107.888727915194,7097.599236641222,-1989.710508726028,t_welch,-1.3054914252684002,0.19310380608663988
2018,estadual,despesa_contratada,direita,esquerda,283,131,43448.9680918728,27139.130916030535,16309.837175842262,t_welch,1.534547360405408,0.1259085516601798
2018,estadual,despesa_paga,direita,esquerda,283,131,0.0,0.0,0.0,t_welch,,
2018,estadual,doadores_distintos,direita,esquerda,283,131,3.6537102473498235,5.152671755725191,-1.4989615083753671,t_welch,-1.5682271413347568,0.1184556781498136
2018,estadual,pct_receita_publica,direita,esquerda,229,116,0.6164455739076341,0.5993767620975552,0.01706881181007891,t_welch,0.3812705774864793,0.7033155927848007
2018,estadual,pct_receita_pessoa_fisica,direita,esquerda,229,116,0.0,0.0,0.0,t_welch,,
2018,estadual,log_receita_total,direita,esquerda,283,131,7.492418216306557,8.00184768438866,-0.5094294680821019,t_welch,-1.3461005547993377,0.17927995827059404
2018,federal,receita_total,direita,esquerda,138,63,169383.84623188406,83061.34444444445,86322.50178743961,t_welch,1.82917163287015,0.06891535665782
2018,federal,receita_publica,direita,esquerda,138,63,153459.2243478261,60093.18079365079,93366.0435541753,t_welch,2.111654224956289,0.03596485237125992
2018,federal,receita_pessoa_fisica,direita,esquerda,138,63,0.0,0.0,0.0,t_welch,,
2018,federal,receita_recursos_proprios,direita,esquerda,138,63,4253.66115942029,14261.28619047619,-10007.6250310559,t_welch,-1.3390314659973952,0.18519387937246554
2018,federal,receita_partido_ou_candidato,direita,esquerda,138,63,155762.35398550724,60841.9692063492,94920.38477915805,t_welch,2.1458600918461017,0.03309600199650575
2018,federal,receita_estimavel,direita,esquerda,138,63,12688.606739130435,8992.852698412698,3695.7540407177366,t_welch,0.8371881325952322,0.40357827206662195
2018,federal,despesa_contratada,direita,esquerda,138,63,157628.7797826087,73979.23793650794,83649.54184610076,t_welch,1.8375937275303251,0.06763381179125433
2018,federal,despesa_paga,direita,esquerda,138,63,0.0,0.0,0.0,t_welch,,
2018,federal,doadores_distintos,direita,esquerda,138,63,6.260869565217392,5.126984126984127,1.1338854382332642,t_welch,0.6193385652211141,0.53640185948183
2018,federal,pct_receita_publica,direita,esquerda,116,53,0.5826285036058391,0.5865613420509673,-0.003932838445128262,t_welch,-0.058280653471398096,0.9536271074870882
2018,federal,pct_receita_pessoa_fisica,direita,esquerda,116,53,0.0,0.0,0.0,t_welch,,
2018,federal,log_receita_total,direita,esquerda,138,63,8.286093526971722,8.041022658186954,0.2450708687847687,t_welch,0.3957341574704596,0.6929618990772113
2020,municipal,receita_total,direita,esquerda,9981,4172,3119.1327913034766,2268.1712320230104,850.9615592804662,t_welch,5.6602959800960235,1.5410391587592912e-08
2020,municipal,receita_publica,direita,esquerda,9981,4172,1463.5759012123035,1031.0277492809203,432.54815193138325,t_welch,4.0777750759160805,4.571749817917477e-05
2020,municipal,receita_pessoa_fisica,direita,esquerda,9981,4172,0.0,0.0,0.0,t_welch,,
2020,municipal,receita_recursos_proprios,direita,esquerda,9981,4172,453.21805831079047,401.9856064237776,51.23245188701287,t_welch,1.3109107289756943,0.1899331151552478
