comparacao,ANO_ELEICAO_ANALISE,ESFERA,tipo_receita,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
cristaos_vs_nao_cristaos,2014,federal,Recursos de outros candidatos/comites,pct_receita_tipo,True,False,250,7071,0.20461300577355154,0.1866774910258238,0.017935514747727754,t_welch,0.841039207753846,0.40108370168169094
cristaos_vs_nao_cristaos,2014,estadual,Recursos de pessoas juridicas,valor_receita,True,False,575,17456,3902.5593739130436,16673.4312001604,-12770.871826247358,t_welch,-11.706171619026614,1.6392494376989878e-30
cristaos_vs_nao_cristaos,2014,estadual,Recursos de pessoas juridicas,pct_receita_tipo,True,False,575,17456,0.03480795793148785,0.06205260778410131,-0.027244649852613455,t_welch,-5.330315919397498,1.3484723648677557e-07
cristaos_vs_nao_cristaos,2014,estadual,Recursos de outros candidatos/comites,valor_receita,True,False,575,17456,7307.084121739131,12417.68634566911,-5110.602223929979,t_welch,-5.068164440780542,4.96815568470064e-07
cristaos_vs_nao_cristaos,2014,estadual,Recursos de outros candidatos/comites,pct_receita_tipo,True,False,575,17456,0.2705890063672532,0.21999577521162844,0.05059323115562475,t_welch,3.251193909560254,0.0012130491349040843
cristaos_vs_nao_cristaos,2014,estadual,Recursos de partido politico,valor_receita,True,False,575,17456,5675.754747826087,15860.926689390466,-10185.171941564378,t_welch,-6.182137995328812,9.50313533426695e-10
cristaos_vs_nao_cristaos,2014,estadual,Recursos de partido politico,pct_receita_tipo,True,False,575,17456,0.1085520656295039,0.14492732973395295,-0.03637526410444905,t_welch,-3.3544514438895643,0.0008435162187713941
cristaos_vs_nao_cristaos,2014,estadual,Rendimentos de aplicacoes financeiras,valor_receita,True,False,575,17456,0.0,2.753601626947754,-2.753601626947754,t_welch,-3.1550057449648614,0.0016076737064463207
cristaos_vs_nao_cristaos,2014,estadual,Rendimentos de aplicacoes financeiras,pct_receita_tipo,True,False,575,17456,0.0,6.205911796575389e-05,-6.205911796575389e-05,t_welch,-1.0831278502564172,0.27876664032333165
cristaos_vs_nao_cristaos,2014,estadual,Recursos de origens nao identificadas,valor_receita,True,False,575,17456,8.695652173913043,6.797571608615949,1.8980805652970938,t_welch,0.21265837485914482,0.8316614617344298
cristaos_vs_nao_cristaos,2014,estadual,Recursos de origens nao identificadas,pct_receita_tipo,True,False,575,17456,0.0003498552473913918,0.0006595130131201828,-0.000309657765728791,t_welch,-0.7900447664344872,0.42970919996610524
cristaos_vs_nao_cristaos,2014,federal,Doacoes pela Internet,valor_receita,True,False,250,7071,5.79568,86.01842879366427,-80.22274879366427,t_welch,-2.056955923806617,0.03972597944005075
cristaos_vs_nao_cristaos,2014,federal,Doacoes pela Internet,pct_receita_tipo,True,False,250,7071,0.00011097401349071222,0.00030749025704584045,-0.00019651624355512823,t_welch,-1.0831697433018164,0.27889435388380096
cristaos_vs_nao_cristaos,2014,federal,Recursos de origens nao identificadas,valor_receita,True,False,250,7071,0.0,21.266727478433037,-21.266727478433037,t_welch,-1.4760009690421678,0.13998816642090892
cristaos_vs_nao_cristaos,2014,federal,Recursos de origens nao identificadas,pct_receita_tipo,True,False,250,7071,0.0,6.650901374069213e-05,-6.650901374069213e-05,t_welch,-1.8439216080548941,0.06523638316126104
cristaos_vs_nao_cristaos,2014,estadual,Doacoes pela Internet,valor_receita,True,False,575,17456,0.0,14.715857011915674,-14.715857011915674,t_welch,-1.866873889199029,0.061935952623752295
cristaos_vs_nao_cristaos,2014,estadual,Doacoes pela Internet,pct_receita_tipo,True,False,575,17456,0.0,7.80081882304729e-05,-7.80081882304729e-05,t_welch,-2.004470618002398,0.04503508891046172
cristaos_vs_nao_cristaos,2014,estadual,Comercializacao de bens ou realizacao de eventos,valor_receita,True,False,575,17456,0.0,0.1145737855178735,-0.1145737855178735,t_welch,-1.0,0.3173243702094537
cristaos_vs_nao_cristaos,2014,estadual,Comercializacao de bens ou realizacao de eventos,pct_receita_tipo,True,False,575,17456,0.0,2.2754817586625477e-07,-2.2754817586625477e-07,t_welch,-0.9999999999999999,0.3173243702094537
cristaos_vs_nao_cristaos,2014,federal,Comercializacao de bens ou realizacao de eventos,valor_receita,True,False,250,7071,0.0,0.03252722387215387,-0.03252722387215387,t_welch,-1.0000000000000002,0.31734473164906224
cristaos_vs_nao_cristaos,2014,federal,Comercializacao de bens ou realizacao de eventos,pct_receita_tipo,True,False,250,7071,0.0,8.24417606642611e-09,-8.24417606642611e-09,t_welch,-1.0,0.31734473164906246
cristaos_vs_nao_cristaos,2018,estadual,Recursos de outros candidatos,valor_receita,True,False,650,18304,4566.905384615385,7647.111683784965,-3080.2062991695802,t_welch,-4.174407499820571,3.319627169293508e-05
cristaos_vs_nao_cristaos,2018,estadual,Recursos de outros candidatos,pct_receita_tipo,True,False,650,18304,0.1560520733872822,0.16770507318027855,-0.01165299979299636,t_welch,-1.0146989542306697,0.31060139363853
cristaos_vs_nao_cristaos,2018,estadual,Recursos de partido politico,valor_receita,True,False,650,18304,19528.65886153846,24500.876058238635,-4972.217196700174,t_welch,-1.5525567337103028,0.12097806831482862
cristaos_vs_nao_cristaos,2018,estadual,Recursos de partido politico,pct_receita_tipo,True,False,650,18304,0.3766572676931426,0.36341860409951393,0.013238663593628686,t_welch,0.7843004977781888,0.43313187586207175
cristaos_vs_nao_cristaos,2018,estadual,Recursos de pessoas fisicas,valor_receita,True,False,650,18304,5092.121476923076,11830.906478911713,-6738.785001988636,t_welch,-7.901937675675326,7.557618116115622e-15
cristaos_vs_nao_cristaos,2018,estadual,Recursos de pessoas fisicas,pct_receita_tipo,True,False,650,18304,0.18329512388596195,0.17587381858668066,0.007421305299281283,t_welch,0.5902239301049949,0.5552339707576358
cristaos_vs_nao_cristaos,2018,estadual,Recursos proprios,valor_receita,True,False,650,18304,4770.3982000000005,9978.075018028845,-5207.6768180288445,t_welch,-4.52240165131804,7.054527693637448e-06
cristaos_vs_nao_cristaos,2018,estadual,Recursos proprios,pct_receita_tipo,True,False,650,18304,0.08854021836866449,0.11509110310205646,-0.02655088473339197,t_welch,-2.9056465347424734,0.0037799666093676658
cristaos_vs_nao_cristaos,2018,estadual,Recursos de Financiamento Coletivo,valor_receita,True,False,650,18304,28.62713846153846,201.448126638986,-172.82098817744753,t_welch,-8.062933044335868,1.0056986097772783e-15
cristaos_vs_nao_cristaos,2018,estadual,Recursos de Financiamento Coletivo,pct_receita_tipo,True,False,650,18304,0.0014220679223370864,0.004135164865926066,-0.00271309694358898,t_welch,-3.8569095605545223,0.00012309823803274811
cristaos_vs_nao_cristaos,2018,federal,Recursos de partido politico,valor_receita,True,False,302,8690,86549.00589403974,134744.91834407367,-48195.912450033924,t_welch,-2.6696620928833124,0.007961925528165619
cristaos_vs_nao_cristaos,2018,federal,Recursos de partido politico,pct_receita_tipo,True,False,302,8690,0.42827015360563225,0.4888683520122898,-0.06059819840665753,t_welch,-2.3855156014957832,0.017633979825515237
cristaos_vs_nao_cristaos,2018,federal,Recursos de pessoas fisicas,valor_receita,True,False,302,8690,6760.302913907285,21671.89929113924,-14911.596377231956,t_welch,-7.666605568878602,7.787109698484675e-14
cristaos_vs_nao_cristaos,2018,federal,Recursos de pessoas fisicas,pct_receita_tipo,True,False,302,8690,0.1304532139134092,0.15932521109850403,-0.02887199718509484,t_welch,-1.9073862073677303,0.0573500783947137
cristaos_vs_nao_cristaos,2018,federal,Recursos de outros candidatos,valor_receita,True,False,302,8690,3782.110529801324,4662.969565017261,-880.8590352159367,t_welch,-0.6084495319454404,0.5432944673659528
cristaos_vs_nao_cristaos,2018,federal,Recursos de outros candidatos,pct_receita_tipo,True,False,302,8690,0.09269598587192962,0.07107139312554227,0.021624592746387353,t_welch,1.6134707818811393,0.10763924120573913
cristaos_vs_nao_cristaos,2018,federal,Recursos proprios,valor_receita,True,False,302,8690,5605.530529801324,18435.886566168007,-12830.356036366684,t_welch,-5.9753631698326615,3.4876302813503007e-09
cristaos_vs_nao_cristaos,2018,federal,Recursos proprios,pct_receita_tipo,True,False,302,8690,0.12366410312103482,0.12406903474439293,-0.0004049316233581124,t_welch,-0.02524906333431952,0.9798720248069807
cristaos_vs_nao_cristaos,2018,estadual,Recursos de origens nao identificadas,valor_receita,True,False,650,18304,0.4461538461538462,10.924640515734266,-10.47848666958042,t_welch,-5.250024468483194,1.5372139047136115e-07
cristaos_vs_nao_cristaos,2018,estadual,Recursos de origens nao identificadas,pct_receita_tipo,True,False,650,18304,1.7784027725905943e-05,0.0003921527720033288,-0.0003743687442774229,t_welch,-4.034806294633308,5.486170646685243e-05
