ANO_ELEICAO_ANALISE,ESFERA,SG_UF,grupo_religioso,votos,total_recorte,pct_votos,comparacao,codarea
2016,municipal,PB,Esquerda,3910,19460,0.20092497430626927,cristaos_direita_vs_esquerda,25
2016,municipal,PE,Direita,36461,51195,0.7121984568805547,cristaos_direita_vs_esquerda,26
2016,municipal,PE,Esquerda,14734,51195,0.2878015431194453,cristaos_direita_vs_esquerda,26
2016,municipal,PI,Direita,18803,26586,0.707251937109757,cristaos_direita_vs_esquerda,22
2016,municipal,PI,Esquerda,7783,26586,0.29274806289024297,cristaos_direita_vs_esquerda,22
2016,municipal,PR,Direita,55869,72260,0.7731663437586493,cristaos_direita_vs_esquerda,41
2016,municipal,PR,Esquerda,16391,72260,0.22683365624135068,cristaos_direita_vs_esquerda,41
2016,municipal,RJ,Direita,124350,161852,0.7682944912636236,cristaos_direita_vs_esquerda,33
2016,municipal,RJ,Esquerda,37502,161852,0.23170550873637644,cristaos_direita_vs_esquerda,33
2016,municipal,RN,Direita,12159,13054,0.9314386394974721,cristaos_direita_vs_esquerda,24
2016,municipal,RN,Esquerda,895,13054,0.06856136050252797,cristaos_direita_vs_esquerda,24
2016,municipal,RO,Direita,11589,19235,0.6024954510007798,cristaos_direita_vs_esquerda,11
2016,municipal,RO,Esquerda,7646,19235,0.39750454899922016,cristaos_direita_vs_esquerda,11
2016,municipal,RR,Direita,3119,3356,0.9293802145411204,cristaos_direita_vs_esquerda,14
2016,municipal,RR,Esquerda,237,3356,0.07061978545887962,cristaos_direita_vs_esquerda,14
2016,municipal,RS,Direita,41328,69814,0.5919729567135531,cristaos_direita_vs_esquerda,43
2016,municipal,RS,Esquerda,28486,69814,0.40802704328644684,cristaos_direita_vs_esquerda,43
2016,municipal,SC,Direita,29591,34204,0.8651327330136827,cristaos_direita_vs_esquerda,42
2016,municipal,SC,Esquerda,4613,34204,0.1348672669863174,cristaos_direita_vs_esquerda,42
2016,municipal,SE,Direita,32732,53153,0.6158071980885369,cristaos_direita_vs_esquerda,28
2016,municipal,SE,Esquerda,20421,53153,0.38419280191146316,cristaos_direita_vs_esquerda,28
2016,municipal,SP,Direita,368490,456070,0.8079680750761944,cristaos_direita_vs_esquerda,35
2016,municipal,SP,Esquerda,87580,456070,0.19203192492380555,cristaos_direita_vs_esquerda,35
2016,municipal,TO,Direita,11014,13797,0.79828948322099,cristaos_direita_vs_esquerda,17
2016,municipal,TO,Esquerda,2783,13797,0.20171051677900992,cristaos_direita_vs_esquerda,17
2018,estadual,AC,Direita,7299,7706,0.947184012457825,cristaos_direita_vs_esquerda,12
2018,estadual,AC,Esquerda,407,7706,0.05281598754217493,cristaos_direita_vs_esquerda,12
2018,estadual,AL,Direita,27368,28183,0.9710818578575737,cristaos_direita_vs_esquerda,27
2018,estadual,AL,Esquerda,815,28183,0.028918142142426287,cristaos_direita_vs_esquerda,27
2018,estadual,AM,Direita,20855,22137,0.9420879071238198,cristaos_direita_vs_esquerda,13
2018,estadual,AM,Esquerda,1282,22137,0.05791209287618015,cristaos_direita_vs_esquerda,13
2018,estadual,AP,Direita,8909,12727,0.700007857311228,cristaos_direita_vs_esquerda,16
2018,estadual,AP,Esquerda,3818,12727,0.2999921426887719,cristaos_direita_vs_esquerda,16
2018,estadual,BA,Direita,105581,228047,0.4629791227247015,cristaos_direita_vs_esquerda,29
2018,estadual,BA,Esquerda,122466,228047,0.5370208772752985,cristaos_direita_vs_esquerda,29
2018,estadual,CE,Direita,41973,43152,0.9726779755283649,cristaos_direita_vs_esquerda,23
2018,estadual,CE,Esquerda,1179,43152,0.02732202447163515,cristaos_direita_vs_esquerda,23
2018,estadual,DF,Direita,36578,38207,0.9573638338524354,cristaos_direita_vs_esquerda,53
2018,estadual,DF,Esquerda,1629,38207,0.04263616614756458,cristaos_direita_vs_esquerda,53
2018,estadual,ES,Direita,36205,54456,0.6648486851770237,cristaos_direita_vs_esquerda,32
2018,estadual,ES,Esquerda,18251,54456,0.33515131482297633,cristaos_direita_vs_esquerda,32
2018,estadual,GO,Direita,31856,32776,0.9719306809860874,cristaos_direita_vs_esquerda,52
2018,estadual,GO,Esquerda,920,32776,0.02806931901391262,cristaos_direita_vs_esquerda,52
2018,estadual,MA,Direita,115141,115141,1.0,cristaos_direita_vs_esquerda,21
2018,estadual,MG,Direita,42126,77890,0.5408396456541276,cristaos_direita_vs_esquerda,31
2018,estadual,MG,Esquerda,35764,77890,0.4591603543458724,cristaos_direita_vs_esquerda,31
2018,estadual,MS,Esquerda,5591,5591,1.0,cristaos_direita_vs_esquerda,50
2018,estadual,MT,Direita,5073,11573,0.4383478786831418,cristaos_direita_vs_esquerda,51
2018,estadual,MT,Esquerda,6500,11573,0.5616521213168582,cristaos_direita_vs_esquerda,51
2018,estadual,PA,Direita,10336,38596,0.26779977199709815,cristaos_direita_vs_esquerda,15
2018,estadual,PA,Esquerda,28260,38596,0.7322002280029019,cristaos_direita_vs_esquerda,15
2018,estadual,PB,Direita,1318,2081,0.6333493512734263,cristaos_direita_vs_esquerda,25
2018,estadual,PB,Esquerda,763,2081,0.36665064872657377,cristaos_direita_vs_esquerda,25
2018,estadual,PE,Direita,117401,121082,0.9695991146495763,cristaos_direita_vs_esquerda,26
2018,estadual,PE,Esquerda,3681,121082,0.03040088535042368,cristaos_direita_vs_esquerda,26
2018,estadual,PI,Direita,28453,48818,0.5828382973493383,cristaos_direita_vs_esquerda,22
2018,estadual,PI,Esquerda,20365,48818,0.41716170265066166,cristaos_direita_vs_esquerda,22
2018,estadual,PR,Direita,56301,62035,0.9075683082131055,cristaos_direita_vs_esquerda,41
2018,estadual,PR,Esquerda,5734,62035,0.09243169178689449,cristaos_direita_vs_esquerda,41
2018,estadual,RJ,Direita,50082,98376,0.5090875823371555,cristaos_direita_vs_esquerda,33
2018,estadual,RJ,Esquerda,48294,98376,0.4909124176628446,cristaos_direita_vs_esquerda,33
2018,estadual,RN,Direita,23523,30411,0.7735030087797179,cristaos_direita_vs_esquerda,24
2018,estadual,RN,Esquerda,6888,30411,0.22649699122028213,cristaos_direita_vs_esquerda,24
2018,estadual,RO,Direita,23754,24528,0.9684442270058709,cristaos_direita_vs_esquerda,11
2018,estadual,RO,Esquerda,774,24528,0.03155577299412916,cristaos_direita_vs_esquerda,11
