ANO_ELEICAO_ANALISE,ESFERA,SG_UF,codigo_ibge_municipio,municipio_ibge,grupo_religioso,votos,total_recorte,pct_votos,comparacao
2012,municipal,AP,1600709,Tartarugalzinho,Não cristãos,6003,6157,0.9749878187428943,cristaos_vs_nao_cristaos
2012,municipal,AP,1600808,Vitória Do Jari,Cristãos,98,7389,0.013262958451752606,cristaos_vs_nao_cristaos
2012,municipal,AP,1600808,Vitória Do Jari,Não cristãos,7291,7389,0.9867370415482474,cristaos_vs_nao_cristaos
2012,municipal,BA,2900108,Abaíra,Não cristãos,4687,4687,1.0,cristaos_vs_nao_cristaos
2012,municipal,BA,2900207,Abaré,Não cristãos,9076,9076,1.0,cristaos_vs_nao_cristaos
2012,municipal,BA,2900306,Acajutiba,Cristãos,949,8234,0.1152538256011659,cristaos_vs_nao_cristaos
2012,municipal,BA,2900306,Acajutiba,Não cristãos,7285,8234,0.8847461743988341,cristaos_vs_nao_cristaos
2012,municipal,BA,2900355,Adustina,Cristãos,267,8308,0.03213769860375542,cristaos_vs_nao_cristaos
2012,municipal,BA,2900355,Adustina,Não cristãos,8041,8308,0.9678623013962446,cristaos_vs_nao_cristaos
2012,municipal,BA,2900405,Água Fria,Cristãos,978,8341,0.11725212804220117,cristaos_vs_nao_cristaos
2012,municipal,BA,2900405,Água Fria,Não cristãos,7363,8341,0.8827478719577988,cristaos_vs_nao_cristaos
2012,municipal,BA,2900504,Érico Cardoso,Cristãos,237,6244,0.037956438180653425,cristaos_vs_nao_cristaos
2012,municipal,BA,2900504,Érico Cardoso,Não cristãos,6007,6244,0.9620435618193466,cristaos_vs_nao_cristaos
2012,municipal,BA,2900603,Aiquara,Cristãos,618,3273,0.18881759853345553,cristaos_vs_nao_cristaos
2012,municipal,BA,2900603,Aiquara,Não cristãos,2655,3273,0.8111824014665444,cristaos_vs_nao_cristaos
2012,municipal,BA,2900702,Alagoinhas,Cristãos,8653,71225,0.12148824148824149,cristaos_vs_nao_cristaos
2012,municipal,BA,2900702,Alagoinhas,Não cristãos,62572,71225,0.8785117585117586,cristaos_vs_nao_cristaos
2012,municipal,BA,2900801,Alcobaça,Cristãos,280,11881,0.023567039811463682,cristaos_vs_nao_cristaos
2012,municipal,BA,2900801,Alcobaça,Não cristãos,11601,11881,0.9764329601885363,cristaos_vs_nao_cristaos
2012,municipal,BA,2900900,Almadina,Cristãos,391,3994,0.09789684526790185,cristaos_vs_nao_cristaos
2012,municipal,BA,2900900,Almadina,Não cristãos,3603,3994,0.9021031547320981,cristaos_vs_nao_cristaos
2012,municipal,BA,2901007,Amargosa,Cristãos,2261,17466,0.12945150578266346,cristaos_vs_nao_cristaos
2012,municipal,BA,2901007,Amargosa,Não cristãos,15205,17466,0.8705484942173365,cristaos_vs_nao_cristaos
2012,municipal,BA,2901106,Amélia Rodrigues,Cristãos,1397,13001,0.1074532728251673,cristaos_vs_nao_cristaos
2012,municipal,BA,2901106,Amélia Rodrigues,Não cristãos,11604,13001,0.8925467271748327,cristaos_vs_nao_cristaos
2012,municipal,BA,2901155,América Dourada,Cristãos,87,8604,0.010111576011157601,cristaos_vs_nao_cristaos
2012,municipal,BA,2901155,América Dourada,Não cristãos,8517,8604,0.9898884239888424,cristaos_vs_nao_cristaos
2012,municipal,BA,2901205,Anagé,Cristãos,459,12477,0.036787689348401056,cristaos_vs_nao_cristaos
2012,municipal,BA,2901205,Anagé,Não cristãos,12018,12477,0.963212310651599,cristaos_vs_nao_cristaos
2012,municipal,BA,2901304,Andaraí,Cristãos,603,7164,0.08417085427135679,cristaos_vs_nao_cristaos
2012,municipal,BA,2901304,Andaraí,Não cristãos,6561,7164,0.9158291457286433,cristaos_vs_nao_cristaos
2012,municipal,BA,2901353,Andorinha,Cristãos,251,9071,0.027670598610957997,cristaos_vs_nao_cristaos
2012,municipal,BA,2901353,Andorinha,Não cristãos,8820,9071,0.972329401389042,cristaos_vs_nao_cristaos
2012,municipal,BA,2901403,Angical,Cristãos,236,9460,0.024947145877378434,cristaos_vs_nao_cristaos
2012,municipal,BA,2901403,Angical,Não cristãos,9224,9460,0.9750528541226215,cristaos_vs_nao_cristaos
2012,municipal,BA,2901502,Anguera,Cristãos,676,7024,0.09624145785876993,cristaos_vs_nao_cristaos
2012,municipal,BA,2901502,Anguera,Não cristãos,6348,7024,0.9037585421412301,cristaos_vs_nao_cristaos
2012,municipal,BA,2901601,Antas,Não cristãos,8429,8429,1.0,cristaos_vs_nao_cristaos
2012,municipal,BA,2901700,Antônio Cardoso,Cristãos,131,7848,0.016692150866462793,cristaos_vs_nao_cristaos
2012,municipal,BA,2901700,Antônio Cardoso,Não cristãos,7717,7848,0.9833078491335372,cristaos_vs_nao_cristaos
2012,municipal,BA,2901809,Antônio Gonçalves,Cristãos,399,6033,0.06613625062158131,cristaos_vs_nao_cristaos
2012,municipal,BA,2901809,Antônio Gonçalves,Não cristãos,5634,6033,0.9338637493784187,cristaos_vs_nao_cristaos
2012,municipal,BA,2901908,Aporá,Cristãos,174,9192,0.018929503916449087,cristaos_vs_nao_cristaos
2012,municipal,BA,2901908,Aporá,Não cristãos,9018,9192,0.9810704960835509,cristaos_vs_nao_cristaos
2012,municipal,BA,2901957,Apuarema,Cristãos,286,4012,0.07128614157527417,cristaos_vs_nao_cristaos
2012,municipal,BA,2901957,Apuarema,Não cristãos,3726,4012,0.9287138584247259,cristaos_vs_nao_cristaos
2012,municipal,BA,2902005,Aracatu,Cristãos,176,9491,0.018543883679275102,cristaos_vs_nao_cristaos
